beeID,Microcolony ID,Date,Wing 1 (mm),Wing 2 (mm),Avg. (mm)
77,QF03,2/20,2.9,2.9,2.9
84,QF03,2/20,2.7,2.7,2.7
58,QF04,2/25,2.4,2.4,2.4
60,QF04,2/25,2.4,2.4,2.4
72,QF04,2/25,2.8,2.8,2.8
81,QF04,2/25,2.7,2.7,2.7
96,QF04,2/25,2.7,2.7,2.7
6,QF06,2/25,2.7,2.7,2.7
12,QF06,2/25,3.1,3.1,3.1
35,QF06,2/25,3.3,3.2,3.25
46,QF06,2/25,3,3,3
80,QF06,2/25,2.8,2.8,2.8
24,QF08,2/25,2.8,2.8,2.8
36,QF08,2/25,2.4,2.4,2.4
52,QF08,2/25,2.1,2.1,2.1
73,QF08,2/25,2.9,na,2.9
9,QF11,2/25,2.4,2.4,2.4
17,QF11,2/25,2.5,2.5,2.5
42,QF11,2/25,2.4,2.4,2.4
52,QF11,2/25,2.3,2.3,2.3
65,QF11,2/25,2.7,2.7,2.7
9,QF12,2/25,2.7,2.7,2.7
10,QF12,2/25,2.7,2.7,2.7
18,QF12,2/25,3,3,3
44,QF12,2/25,3.1,3.1,3.1
72,QF12,2/25,2.8,2.8,2.8
23,QF14,2/25,2.8,2.8,2.8
40,QF14,2/25,2.4,2.4,2.4
75,QF14,2/25,2.6,2.6,2.6
87,QF14,2/25,3.2,3.2,3.2
91,QF14,2/25,2.8,2.8,2.8
queen,QA01,3/6,3.8,3.8,3.8
queen,QA02,3/6,3.9,na,3.9
queen,QA03,3/6,3.7,3.7,3.7
50,QA04,3/6,na,3.7,3.7
32,QA05,3/6,3.7,3.6,3.65
16,QA06,3/6,3.5,3.5,3.5
77,QA07,3/6,3.5,3.5,3.5
99,QA09,3/6,3.3,3.3,3.3
70,QA10,3/6,3.3,3.3,3.3
97,QA11,3/6,na,4.2,4.2
91,QA12,3/6,4.1,4.1,4.1
66,QT01,3/6,3.4,3.4,3.4
85,QT02,3/6,4,4,4
8,QT03,3/6,3.7,3.7,3.7
62,QT04,3/6,3.7,3.7,3.7
78,QT08,3/6,3.7,3.7,3.7
95,QT11,3/6,4.1,4.1,4.1
93,QT12,3/6,4,4,4
45,QT13,3/6,4.1,4.1,4.1
97,QT14,3/6,3.8,3.8,3.8
81,QT15,3/6,4.1,4.1,4.1
12,QF02,3/6,3.8,3.8,3.8
59,QF03,3/6,3.6,3.6,3.6
54,QF04,3/6,3.8,3.8,3.8
66,QF06,3/6,3.3,3.3,3.3
57,QF07,3/6,3.9,3.9,3.9
48,QF08,3/6,3.5,3.5,3.5
90,QF09,3/6,3.6,3.6,3.6
6,QF10,3/6,4,4,4
98,QF11,3/6,4.2,4.2,4.2
35,QF12,3/6,4,4,4
63,QF14,3/6,4.1,4.1,4.1
90,QF15,3/6,3.7,3.7,3.7
62,QF16,3/6,3.6,3.6,3.6
