"","nestID.y","beeID.y","egglaying","joinc","feedsbrood","nectarforaging","pollenforaging","nBehavs","nestTYPE"
"162","QF03","32",0,"QF03_32",0,0,0,1,"QF"
"163","QF10","54",0,"QF10_54",0,0,0,1,"QF"
"164","QF16","74",0,"QF16_74",0,0,0,1,"QF"
"165","NF04","92",2,"NF04_92",0,0,0,1,"NF"
"166","NF10","63",0,"NF10_63",0,0,0,1,"NF"
"167","QF10","86",0,"QF10_86",0,0,0,1,"QF"
"168","NT16","31",0,"NT16_31",0,0,0,1,"NT"
"169","NF03","73",0,"NF03_73",0,0,0,1,"NF"
"170","QT02","40",0,"QT02_40",0,0,0,1,"QT"
"171","NF06","10",0,"NF06_10",0,0,0,1,"NF"
"172","NT15","60",0,"NT15_60",0,0,0,1,"NT"
"173","NT12","15",0,"NT12_15",0,0,0,1,"NT"
"174","QF16","39",0,"QF16_39",0,0,0,1,"QF"
"175","QF15","59",0,"QF15_59",0,0,0,1,"QF"
"176","NF02","30",3,"NF02_30",0,0,0,1,"NF"
"177","NF10","81",0,"NF10_81",0,0,0,1,"NF"
"178","NF07","4",0,"NF07_4",0,0,0,1,"NF"
"179","NT16","28",1,"NT16_28",0,0,0,1,"NT"
"180","QT13","3",6,"QT13_3",0,0,0,1,"QT"
"181","NF03","29",0,"NF03_29",0,0,0,1,"NF"
"182","QF04","58",0,"QF04_58",0,0,0,1,"QF"
"183","QT04","32",0,"QT04_32",0,0,0,1,"QT"
"184","QT02","2",0,"QT02_2",0,0,0,1,"QT"
"185","QT01","18",0,"QT01_18",0,0,0,1,"QT"
"186","QF10","6",0,"QF10_6",0,0,0,1,"QF"
"187","QF15","90",3,"QF15_90",0,0,0,1,"QF"
"188","QF14","63",0,"QF14_63",0,0,0,1,"QF"
"189","QF11","98",3,"QF11_98",0,0,0,1,"QF"
"190","QT14","97",2,"QT14_97",0,0,0,1,"QT"
"191","QT13","45",1,"QT13_45",0,0,0,1,"QT"
"192","QT12","93",2,"QT12_93",0,0,0,1,"QT"
"193","QF02","12",6,"QF02_12",0,0,0,1,"QF"
"194","QT04","62",5,"QT04_62",0,0,0,1,"QT"
"195","QT01","66",0,"QT01_66",0,0,0,1,"QT"
