Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	QT04	20180629	14,2018-06-29 14:00:29,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh & Erica's Awesome Summer Experiments/Videos/*Round1/QT/QT04/05_nestQT04_1_20180629_143904.avi,3042.520,25.0,Worker 4 (41),other,,,STATE,73.432,130.155,56.723,"worker tries to lay eggs, queen fights her off",
nest	QT04	20180629	20,2018-06-29 20:00:35,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QT/QT04/05_nestQT04_1_20180629_203943.avi,3387.400,25.0,Worker 4 (41),eatsbrood,,,STATE,120.123,179.828,59.705,,
nest	QT04	20180629	6,2018-06-29 06:00:35,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QT/QT04/05_nestQT04_1_20180629_063809.avi,2833.200,25.0,Worker 1 (7),feedsbrood,,,POINT,146.829,146.829,NA,,
