Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	QF16	20181116	15,2018-11-16 15:00:56,G:/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF16/05_forQF16_1_20181116_151902.avi,770.200,25.0,Unknown worker,nectarforaging,,,STATE,0.000,30.300,30.300,,
for	QF16	20181116	7,2018-11-16 07:00:45,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF16/05_forQF16_1_20181116_072250.avi,806.960,25.0,No focal subject,nectarforaging,,,STATE,0.000,6.729,6.729,,
nest	QF16	20181108	21,2018-11-08 21:00:47,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF16/05_nestQF16_1_20181108_214759.avi,1835.520,25.0,Worker 3 (50),feedsbrood,,,POINT,23.309,23.309,NA,,
nest	QF16	20181109	2,2018-11-09 02:00:45,/Volumes/GoogleDrive/My Drive/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF16/05_nestQF16_1_20181109_024856.avi,1216.080,25.0,Queen (62),feedsbrood,,,POINT,24.377,24.377,NA,,
nest	QF16	20181115	8,2018-11-15 08:00:26,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF16/05_nestQF16_1_20181115_081648.avi,55.840,25.0,Worker 5 (95),feedsbrood,,,POINT,26.452,26.452,NA,,
for	QF16	20181116	7,2018-11-16 07:00:45,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF16/05_forQF16_1_20181116_072250.avi,806.960,25.0,No focal subject,nectarforaging,,,STATE,26.677,67.417,40.740,,
nest	QF16	20181109	0,2018-11-09 00:00:59,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF16/05_nestQF16_1_20181109_004839.avi,1039.800,25.0,Worker 3 (50),feedsbrood,,,POINT,27.273,27.273,NA,,
for	QF16	20181109	2,2018-11-09 02:00:37,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF16/05_forQF16_1_20181109_022121.avi,1805.120,25.0,Unknown worker,nectarforaging,,,STATE,32.502,114.530,82.028,,
nest	QF16	20181115	8,2018-11-15 08:00:26,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF16/05_nestQF16_1_20181115_081648.avi,55.840,25.0,Worker 5 (95),feedsbrood,,,POINT,40.429,40.429,NA,,
for	QF16	20181109	20,2018-11-09 20:00:11,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF16/05_forQF16_1_20181109_203745.avi,991.960,25.0,No focal subject,nectarforaging,,,STATE,42.029,74.327,32.298,,
for	QF16	20181108	19,2018-11-08 19:00:31,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF16/05_forQF16_1_20181108_191940.avi,1790.560,25.0,No focal subject,nectarforaging,,,STATE,44.695,120.782,76.087,,
for	QF16	20181116	6,2018-11-16 06:00:38,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF16/05_forQF16_1_20181116_062229.avi,805.640,25.0,No focal subject,nectarforaging,,,STATE,80.609,109.957,29.348,,
nest	QF16	20181108	21,2018-11-08 21:00:47,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF16/05_nestQF16_1_20181108_214759.avi,1835.520,25.0,Worker 3 (50),feedsbrood,,,POINT,86.579,86.579,NA,,
for	QF16	20181109	2,2018-11-09 02:00:37,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF16/05_forQF16_1_20181109_022121.avi,1805.120,25.0,Unknown worker,feedsbrood,,,POINT,114.529,114.529,NA,,
