Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	QA08	20180821	17,2018-08-21 17:00:24,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA08/05_forQA08_1_20180821_172655.avi,3603.120,25.0,Queen,nectarforaging,,STATE,115.896,142.020,26.124,,
QA08	20180822	15,2018-08-22 15:00:11,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA08/05_forQA08_1_20180822_155611.avi,2646.000,25.0,Queen,pollenforaging,,STATE,235.061,670.345,435.284,,
for	QA08	20180821	17,2018-08-21 17:00:24,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA08/05_forQA08_1_20180821_172655.avi,3603.120,25.0,Queen,pollenforaging,,STATE,391.216,405.317,14.101,,
for	QA08	20180821	17,2018-08-21 17:00:24,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA08/05_forQA08_1_20180821_172655.avi,3603.120,25.0,Queen,nectarforaging,,STATE,431.641,527.791,96.150,,
for	QA08	20180820	14,2018-08-20 14:00:10,G:/My Drive/AllRounds/QA/QA08/05_forQA08_1_20180820_140846.avi,968.240,25.0,Queen,nectarforaging,,STATE,586.386,617.290,30.904,,
for	QA08	20180820	14,2018-08-20 14:00:10,G:/My Drive/AllRounds/QA/QA08/05_forQA08_1_20180820_140846.avi,968.240,25.0,Queen,pollenforaging,,STATE,621.464,629.864,8.400,,
for	QA08	20180821	17,2018-08-21 17:00:24,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA08/05_forQA08_1_20180821_172655.avi,3603.120,25.0,Queen,nectarforaging,,STATE,675.342,780.842,105.500,,
for	QA08	20180820	14,2018-08-20 14:00:10,G:/My Drive/AllRounds/QA/QA08/05_forQA08_1_20180820_140846.avi,968.240,25.0,Queen,nectarforaging,,STATE,686.357,697.109,10.752,,
for	QA08	20180820	14,2018-08-20 14:00:10,G:/My Drive/AllRounds/QA/QA08/05_forQA08_1_20180820_140846.avi,968.240,25.0,Queen,nectarforaging,,STATE,768.974,866.846,97.872,,
for	QA08	20180820	14,2018-08-20 14:00:10,G:/My Drive/AllRounds/QA/QA08/05_forQA08_1_20180820_140846.avi,968.240,25.0,Queen,pollenforaging,,STATE,897.192,910.109,12.917,,
