Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	NF07	20180816	5,2018-08-16 05:00:43,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF07/05_nestNF07_1_20180816_053542.avi,3603.280,25.0,Worker 4 (26),fillshoneypot,,,POINT,13.678,13.678,NA,,
nest	NF07	20180815	2,2018-08-15 02:00:11,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF07/05_nestNF07_1_20180815_023412.avi,3573.120,25.0,Worker 5 (70),feedsbrood,,,POINT,49.200,49.200,NA,,
nest	NF07	20180815	20,2018-08-15 20:00:41,G:/My Drive/AllRounds/NF/NF07/05_nestNF07_1_20180815_203506.avi,3581.320,25.0,Worker 3 (52),feedsbrood,,,POINT,71.747,71.747,NA,,
for	NF07	20180815	2,2018-08-15 02:00:19,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF07/05_forNF07_1_20180815_023440.avi,3591.560,25.0,Worker 2 (13),nectarforaging,,,STATE,75.701,161.378,85.677,,
for	NF07	20180815	2,2018-08-15 02:00:19,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF07/05_forNF07_1_20180815_023440.avi,3591.560,25.0,Worker 2 (13),nectarforaging,,,STATE,194.303,223.153,28.850,,
nest	NF07	20180816	2,2018-08-16 02:00:40,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF07/05_nestNF07_1_20180816_023532.avi,3406.320,25.0,Worker 5 (70),feedsbrood,,,POINT,261.354,261.354,NA,,
nest	NF07	20180815	2,2018-08-15 02:00:11,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF07/05_nestNF07_1_20180815_023412.avi,3573.120,25.0,Worker 2 (13),fillshoneypot,,,POINT,267.073,267.073,NA,,
for	NF07	20180823	18,2018-08-23 18:00:05,/Volumes/GoogleDrive/My Drive/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF07/05_forNF07_1_20180823_180951.avi,2228.000,25.0,Unknown,nectarforaging,,,STATE,696.886,737.685,40.799,,
for	NF07	20180822	6,2018-08-22 06:00:38,G:/My Drive/AllRounds/NF/NF07/05_forNF07_1_20180822_064849.avi,3598.040,25.0,Worker 5 (70),nectarforaging,,,STATE,955.597,1018.897,63.300,,
for	NF07	20180823	16,2018-08-23 16:00:54,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF07/05_forNF07_1_20180823_160831.avi,2701.200,25.0,Worker 2 (13),nectarforaging,,,STATE,1258.881,1321.082,62.201,,
for	NF07	20180823	16,2018-08-23 16:00:54,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF07/05_forNF07_1_20180823_160831.avi,2701.200,25.0,Worker 2 (13),nectarforaging,,,STATE,1649.211,1718.730,69.519,,
for	NF07	20180815	20,2018-08-15 20:00:32,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF07/05_forNF07_1_20180815_203539.avi,3595.720,25.0,Worker 4 (26),nectarforaging,,,STATE,1758.812,1863.961,105.149,,
for	NF07	20180821	14,2018-08-21 14:00:16,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF07/05_forNF07_1_20180821_144810.avi,3547.320,25.0,Worker 2 (13),nectarforaging,,,STATE,1760.037,1843.113,83.076,,
for	NF07	20180823	16,2018-08-23 16:00:54,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF07/05_forNF07_1_20180823_160831.avi,2701.200,25.0,Worker 2 (13),nectarforaging,,,STATE,1788.525,1796.338,7.813,,
for	NF07	20180823	16,2018-08-23 16:00:54,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF07/05_forNF07_1_20180823_160831.avi,2701.200,25.0,Worker 2 (13),nectarforaging,,,STATE,1809.574,1816.139,6.565,,
for	NF07	20180823	18,2018-08-23 18:00:05,/Volumes/GoogleDrive/My Drive/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF07/05_forNF07_1_20180823_180951.avi,2228.000,25.0,Unknown,nectarforaging,,,STATE,1907.846,1947.045,39.199,,
for	NF07	20180823	20,2018-08-23 20:00:37,G:/My Drive/AllRounds/NF/NF07/05_forNF07_1_20180823_201008.avi,2220.680,25.0,Worker 5 (70),pollenforaging,,,STATE,1927.387,2025.587,98.200,,
for	NF07	20180821	18,2018-08-21 18:00:54,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF07/05_forNF07_1_20180821_184820.avi,3597.240,25.0,Worker 4 (26),nectarforaging,,,STATE,1947.844,2055.616,107.772,,
for	NF07	20180821	18,2018-08-21 18:00:54,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF07/05_forNF07_1_20180821_184820.avi,3597.240,25.0,Worker 5 (70),nectarforaging,,,STATE,1977.265,2040.297,63.032,,
