Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	NT05	20180630	3,2018-06-30 03:00:59,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/NT/NT05/05_forNT05_1_20180630_033715.avi,3402.560,25.0,Worker 2 (43),nectarforaging,,,STATE,0.000,115.303,115.303,,
nest	NT05	20180705	22,2018-07-05 22:00:35,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT05/05_nestNT05_1_20180705_220102.avi,3600.640,25.0,Worker 3 (44),feedsbrood,,,POINT,8.680,8.680,NA,,
nest	NT05	20180705	12,2018-07-05 12:00:47,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NT/NT05/05_nestNT05_1_20180705_120043.avi,3596.240,25.0,Worker 2 (43),feedsbrood,,,POINT,11.850,11.850,NA,,
nest	NT05	20180707	13,2018-07-07 13:00:40,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NT/NT05/05_nestNT05_1_20180707_130206.avi,3600.320,25.0,Worker 2 (43),feedsbrood,,,POINT,20.979,20.979,NA,,
nest	NT05	20180707	3,2018-07-07 03:00:59,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NT/NT05/05_nestNT05_1_20180707_030150.avi,3601.280,25.0,Worker 2 (43),feedsbrood,,,POINT,30.227,30.227,NA,,
nest	NT05	20180707	10,2018-07-07 10:00:15,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Round1/NT/NT05/05_nestNT05_1_20180707_100202.avi,3599.520,25.0,Worker 2 (43),feedsbrood,,,POINT,35.728,35.728,NA,,
nest	NT05	20180705	22,2018-07-05 22:00:35,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT05/05_nestNT05_1_20180705_220102.avi,3600.640,25.0,Worker 2 (43),feedsbrood,,,POINT,37.805,37.805,NA,,
nest	NT05	20180706	12,2018-07-06 12:00:43,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NT/NT05/05_nestNT05_1_20180706_120124.avi,3549.320,25.0,Worker 2 (43),feedsbrood,,,POINT,63.901,63.901,NA,,
nest	NT05	20180707	10,2018-07-07 10:00:15,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Round1/NT/NT05/05_nestNT05_1_20180707_100202.avi,3599.520,25.0,Worker 1 (42),feedsbrood,,,POINT,70.903,70.903,NA,,
for	NT05	20180629	21,2018-06-29 21:00:57,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT05/05_forNT05_1_20180629_213627.avi,3535.400,25.0,Worker 2 (43),nectarforaging,,,STATE,84.032,1917.591,1833.559,,
