Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	NF04	20180630	17,2018-06-30 17:00:19,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF04/05_forNF04_1_20180630_174252.avi,3231.680,25.0,Worker 3 (61),nectarforaging,,,STATE,0.000,51.319,51.319,,
for	NF04	20180705	8,2018-07-05 08:00:18,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Round1/NF/NF04/05_forNF04_1_20180705_080647.avi,3167.440,25.0,Worker 4 (74),nectarforaging,,,STATE,1.278,1538.454,1537.176,,
for	NF04	20180629	21,2018-06-29 21:00:20,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh & Erica's Awesome Summer Experiments/Videos/*Round1/NF/NF04/05_forNF04_1_20180629_214040.avi,3121.800,25.0,Worker 2 (44),nectarforaging,,,STATE,2.405,63.826,61.421,,
for	NF04	20180630	9,2018-06-30 09:00:12,G:/My Drive/AllRounds/NF/NF04/05_forNF04_1_20180630_094200.avi,3183.840,25.0,Worker 3 (61),pollenforaging,,,STATE,3.186,15.426,12.240,,
nest	NF04	20180706	11,2018-07-06 11:00:53,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/NF/NF04/05_nestNF04_1_20180706_115633.avi,2607.600,25.0,Worker 2 (44),feedsbrood,,,POINT,36.454,36.454,NA,,
for	NF04	20180706	12,2018-07-06 12:00:57,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF04/05_forNF04_1_20180706_125825.avi,707.160,25.0,No focal subject,nectarforaging,,,STATE,59.351,83.304,23.953,,
nest	NF04	20180706	13,2018-07-06 13:00:01,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF04/05_nestNF04_1_20180706_135835.avi,735.680,25.0,Worker 4 (74),feedsbrood,,,POINT,82.845,82.845,NA,,
nest	NF04	20180706	11,2018-07-06 11:00:53,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/NF/NF04/05_nestNF04_1_20180706_115633.avi,2607.600,25.0,Worker 4 (74),feedsbrood,,,POINT,104.153,104.153,NA,,
for	NF04	20180706	3,2018-07-06 03:00:41,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF04/05_forNF04_1_20180706_032048.avi,3164.080,25.0,Worker 2 (44),nectarforaging,,,STATE,154.228,250.398,96.170,,
for	NF04	20180629	18,2018-06-29 18:00:21,G:/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF04/05_forNF04_1_20180629_184013.avi,3398.400,25.0,Worker 2 (44),nectarforaging,,,STATE,156.126,242.842,86.716,,
for	NF04	20180630	9,2018-06-30 09:00:12,G:/My Drive/AllRounds/NF/NF04/05_forNF04_1_20180630_094200.avi,3183.840,25.0,Unknown,nectarforaging,,,STATE,179.375,191.550,12.175,,
for	NF04	20180706	12,2018-07-06 12:00:57,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF04/05_forNF04_1_20180706_125825.avi,707.160,25.0,Worker 3 (61),nectarforaging,,,STATE,194.428,222.628,28.200,,
for	NF04	20180705	16,2018-07-05 16:00:08,G:/My Drive/AllRounds/NF/NF04/05_forNF04_1_20180705_162003.avi,3305.600,25.0,Unknown,nectarforaging,,,STATE,250.760,439.142,188.382,,
for	NF04	20180629	18,2018-06-29 18:00:21,G:/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF04/05_forNF04_1_20180629_184013.avi,3398.400,25.0,Worker 2 (44),nectarforaging,,,STATE,278.238,283.686,5.448,,
nest	NF04	20180706	11,2018-07-06 11:00:53,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/NF/NF04/05_nestNF04_1_20180706_115633.avi,2607.600,25.0,Worker 1 (40),feedsbrood,,,POINT,291.604,291.604,NA,,
for	NF04	20180629	18,2018-06-29 18:00:21,G:/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF04/05_forNF04_1_20180629_184013.avi,3398.400,25.0,Worker 2 (44),nectarforaging,,,STATE,316.861,465.031,148.170,,
for	NF04	20180630	0,2018-06-30 00:00:21,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF04/05_forNF04_1_20180630_004119.avi,3388.080,25.0,Worker 2 (44),nectarforaging,,,STATE,338.609,503.761,165.152,,
for	NF04	20180706	12,2018-07-06 12:00:57,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF04/05_forNF04_1_20180706_125825.avi,707.160,25.0,Worker 3 (61),nectarforaging,,,STATE,366.253,389.106,22.853,,
NF04	20180706	11,2018-07-06 11:00:39,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF04/05_forNF04_1_20180706_112135.avi,1465.640,25.0,Worker 3 (61),nectarforaging,,,STATE,409.662,666.351,256.689,,
for	NF04	20180706	12,2018-07-06 12:00:57,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF04/05_forNF04_1_20180706_125825.avi,707.160,25.0,Worker 3 (61),nectarforaging,,,STATE,417.901,419.628,1.727,,
for	NF04	20180705	8,2018-07-05 08:00:18,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Round1/NF/NF04/05_forNF04_1_20180705_080647.avi,3167.440,25.0,Worker 3 (61),nectarforaging,,,STATE,490.630,604.496,113.866,,
for	NF04	20180630	17,2018-06-30 17:00:19,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF04/05_forNF04_1_20180630_174252.avi,3231.680,25.0,Worker 3 (61),nectarforaging,,,STATE,693.275,850.925,157.650,,
for	NF04	20180705	8,2018-07-05 08:00:18,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Round1/NF/NF04/05_forNF04_1_20180705_080647.avi,3167.440,25.0,Worker 3 (61),nectarforaging,,,STATE,913.874,1052.275,138.401,,
for	NF04	20180630	16,2018-06-30 16:00:45,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Round1/NF/NF04/05_forNF04_1_20180630_164237.avi,3313.320,25.0,Worker 2 (44),nectarforaging,,,STATE,970.529,1064.177,93.648,,
for	NF04	20180630	9,2018-06-30 09:00:12,G:/My Drive/AllRounds/NF/NF04/05_forNF04_1_20180630_094200.avi,3183.840,25.0,Unknown,nectarforaging,,,STATE,1286.975,1308.550,21.575,,
NF04	20180706	11,2018-07-06 11:00:39,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF04/05_forNF04_1_20180706_112135.avi,1465.640,25.0,Unknown,nectarforaging,,,STATE,1296.302,1463.533,167.231,,
for	NF04	20180705	8,2018-07-05 08:00:18,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Round1/NF/NF04/05_forNF04_1_20180705_080647.avi,3167.440,25.0,Worker 3 (61),nectarforaging,,,STATE,1307.357,1374.156,66.799,,
for	NF04	20180630	9,2018-06-30 09:00:12,G:/My Drive/AllRounds/NF/NF04/05_forNF04_1_20180630_094200.avi,3183.840,25.0,Unknown,pollenforaging,,,STATE,1383.726,1406.326,22.600,,
for	NF04	20180705	8,2018-07-05 08:00:18,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Round1/NF/NF04/05_forNF04_1_20180705_080647.avi,3167.440,25.0,Worker 3 (61),nectarforaging,,,STATE,1388.759,1397.907,9.148,,
for	NF04	20180705	8,2018-07-05 08:00:18,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Round1/NF/NF04/05_forNF04_1_20180705_080647.avi,3167.440,25.0,Unknown,pollenforaging,,,STATE,1414.529,1435.726,21.197,,
for	NF04	20180705	8,2018-07-05 08:00:18,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Round1/NF/NF04/05_forNF04_1_20180705_080647.avi,3167.440,25.0,Worker 3 (61),nectarforaging,,,STATE,1467.178,1706.304,239.126,,
for	NF04	20180630	17,2018-06-30 17:00:19,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF04/05_forNF04_1_20180630_174252.avi,3231.680,25.0,Worker 2 (44),nectarforaging,,,STATE,1583.255,1689.203,105.948,,
for	NF04	20180630	9,2018-06-30 09:00:12,G:/My Drive/AllRounds/NF/NF04/05_forNF04_1_20180630_094200.avi,3183.840,25.0,Worker 3 (61),nectarforaging,,,STATE,1650.676,1748.926,98.250,,
for	NF04	20180630	16,2018-06-30 16:00:45,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Round1/NF/NF04/05_forNF04_1_20180630_164237.avi,3313.320,25.0,Worker 4 (74),pollenforaging,,,STATE,1706.285,1726.337,20.052,,
for	NF04	20180705	8,2018-07-05 08:00:18,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Round1/NF/NF04/05_forNF04_1_20180705_080647.avi,3167.440,25.0,Worker 3 (61),nectarforaging,,,STATE,1729.294,1858.866,129.572,,
for	NF04	20180630	9,2018-06-30 09:00:12,G:/My Drive/AllRounds/NF/NF04/05_forNF04_1_20180630_094200.avi,3183.840,25.0,Unknown,pollenforaging,,,STATE,1774.877,1803.578,28.701,,
for	NF04	20180630	9,2018-06-30 09:00:12,G:/My Drive/AllRounds/NF/NF04/05_forNF04_1_20180630_094200.avi,3183.840,25.0,Unknown,pollenforaging,,,STATE,1821.853,1867.504,45.651,,
for	NF04	20180705	8,2018-07-05 08:00:18,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Round1/NF/NF04/05_forNF04_1_20180705_080647.avi,3167.440,25.0,Worker 3 (61),nectarforaging,,,STATE,1946.494,2016.118,69.624,,
for	NF04	20180630	9,2018-06-30 09:00:12,G:/My Drive/AllRounds/NF/NF04/05_forNF04_1_20180630_094200.avi,3183.840,25.0,Unknown,nectarforaging,,,STATE,1989.179,2003.029,13.850,,
for	NF04	20180706	10,2019-07-06 10:00:15,G:/My Drive/AllRounds/NF/NF04/05_forNF04_1_20180706_102130.avi,3298.680,25.0,Worker 2 (44),nectarforaging,,,STATE,2042.388,2164.364,121.976,,
for	NF04	20180705	8,2018-07-05 08:00:18,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Round1/NF/NF04/05_forNF04_1_20180705_080647.avi,3167.440,25.0,Unknown,pollenforaging,,,STATE,2042.864,2049.691,6.827,,
for	NF04	20180705	8,2018-07-05 08:00:18,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Round1/NF/NF04/05_forNF04_1_20180705_080647.avi,3167.440,25.0,Unknown,pollenforaging,,,STATE,2074.769,2175.791,101.022,,
