Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	NF11	20181118	4,2018-11-18 04:00:22,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF11/05_forNF11_1_20181118_043201.avi,1415.460,13.0,Worker 3 (20),nectarforaging,,,STATE,0.000,508.506,508.506,,
nest	NF11	20181110	23,2018-11-10 23:00:40,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF11/05_nestNF11_1_20181110_234028.avi,1167.760,25.0,Worker 1 (7),feedsbrood,,,POINT,5.501,5.501,NA,,
nest	NF11	20181117	6,2018-11-17 06:00:36,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF11/05_nestNF11_1_20181117_062248.avi,772.040,25.0,Worker 3 (20),feedsbrood,,,POINT,13.852,13.852,NA,,
nest	NF11	20181116	12,2018-11-16 12:00:12,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF11/05_nestNF11_1_20181116_121347.avi,1321.240,25.0,Worker 1 (7),feedsbrood,,,POINT,39.178,39.178,NA,,
nest	NF11	20181117	7,2018-11-17 07:00:46,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/NF/NF11/05_nestNF11_1_20181117_072302.avi,713.680,25.0,Worker 4 (33),feedsbrood,,,POINT,48.877,48.877,NA,,
nest	NF11	20181117	6,2018-11-17 06:00:36,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF11/05_nestNF11_1_20181117_062248.avi,772.040,25.0,Worker 1 (7),feedsbrood,,,POINT,75.425,75.425,NA,,
nest	NF11	20181112	17,2018-11-12 17:00:09,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF11/05_nestNF11_1_20181112_170752.avi,1592.160,25.0,Worker 5 (49),other,,,STATE,101.552,103.843,2.291,,
nest	NF11	20181117	7,2018-11-17 07:00:46,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/NF/NF11/05_nestNF11_1_20181117_072302.avi,713.680,25.0,Worker 1 (7),feedsbrood,,,POINT,132.426,132.426,NA,,
nest	NF11	20181118	23,2018-11-18 23:00:09,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF11/05_nestNF11_1_20181118_234032.avi,1072.760,25.0,Worker 2 (16),feedsbrood,,,POINT,158.304,158.304,NA,,
nest	NF11	20181118	4,2018-11-18 04:00:01,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF11/05_nestNF11_1_20181118_043220.avi,756.760,25.0,Worker 4 (33),feedsbrood,,,POINT,196.770,196.770,NA,,
nest	NF11	20181112	17,2018-11-12 17:00:09,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF11/05_nestNF11_1_20181112_170752.avi,1592.160,25.0,Worker 2 (16),feedsbrood,,,POINT,220.931,220.931,NA,,
nest	NF11	20181118	5,2018-11-18 05:00:43,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF11/05_nestNF11_1_20181118_053327.avi,840.560,25.0,Worker 1 (7),feedsbrood,,,POINT,260.875,260.875,NA,,
