Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	QF08	20180818	14,2018-08-18 14:00:21,G:/My Drive/AllRounds/QF/QF08/05_forQF08_1_20180818_145915.avi,1917.920,25.0,Queen (48),pollenforaging,,,STATE,0.000,10.851,10.851,,
for	QF08	20180818	14,2018-08-18 14:00:21,G:/My Drive/AllRounds/QF/QF08/05_forQF08_1_20180818_145915.avi,1917.920,25.0,Unknown,nectarforaging,,,STATE,0.000,38.160,38.160,,
nest	QF08	20180817	21,2018-08-17 21:00:36,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF08/05_nestQF08_1_20180817_215535.avi,1823.160,25.0,Queen (48),broodmanipulate,,,STATE,1.075,21.224,20.149,,
nest	QF08	20180817	21,2018-08-17 21:00:36,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF08/05_nestQF08_1_20180817_215535.avi,1823.160,25.0,Worker 3 (24),broodmanipulate,,,STATE,1.075,21.224,20.149,,
nest	QF08	20180817	21,2018-08-17 21:00:36,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF08/05_nestQF08_1_20180817_215535.avi,1823.160,25.0,Worker 4 (73),broodmanipulate,,,STATE,1.075,21.224,20.149,,
nest	QF08	20180817	21,2018-08-17 21:00:36,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF08/05_nestQF08_1_20180817_215535.avi,1823.160,25.0,Worker 5 (36),incubate,,,STATE,1.075,21.401,20.326,,
nest	QF08	20180812	3,2018-08-12 03:00:55,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF08/05_nestQF08_1_20180812_030155.avi,2744.480,25.0,Queen (48),broodmanipulate,,,STATE,1.580,7.228,5.648,,
nest	QF08	20180812	3,2018-08-12 03:00:55,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF08/05_nestQF08_1_20180812_030155.avi,2744.480,25.0,Worker 1 (15),offbrood,,,STATE,1.580,121.646,120.066,,
nest	QF08	20180812	3,2018-08-12 03:00:55,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF08/05_nestQF08_1_20180812_030155.avi,2744.480,25.0,Worker 6 (52),offbrood,,,STATE,1.580,65.125,63.545,,
nest	QF08	20180817	21,2018-08-17 21:00:36,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF08/05_nestQF08_1_20180817_215535.avi,1823.160,25.0,Worker 6 (52),broodmanipulate,,,STATE,2.852,21.224,18.372,,
nest	QF08	20180817	21,2018-08-17 21:00:36,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF08/05_nestQF08_1_20180817_215535.avi,1823.160,25.0,Worker 1 (15),offbrood,,,STATE,2.853,299.595,296.742,,
nest	QF08	20180819	23,2018-08-19 23:00:31,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF08/05_nestQF08_1_20180819_230816.avi,1450.680,25.0,Worker 5 (36),feedsbrood,,,POINT,6.479,6.479,NA,,
nest	QF08	20180812	3,2018-08-12 03:00:55,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF08/05_nestQF08_1_20180812_030155.avi,2744.480,25.0,Queen (48),incubate,,,STATE,7.229,48.924,41.695,,
nest	QF08	20180818	20,2018-08-18 20:00:44,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF08/05_nestQF08_1_20180818_200030.avi,1849.640,25.0,Queen (48),other,,,STATE,7.759,21.132,13.373,,
nest	QF08	20180813	23,2018-08-13 23:00:33,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF08/05_nestQF08_1_20180813_231500.avi,2828.160,25.0,Worker 6 (52),feedsbrood,,,POINT,10.876,10.876,NA,,
nest	QF08	20180813	8,2018-08-13 08:00:31,G:/My Drive/AllRounds/QF/QF08/05_nestQF08_1_20180813_080555.avi,2031.760,25.0,Worker 4 (73),waxmanipulate,,,STATE,12.876,28.026,15.150,,
nest	QF08	20180819	23,2018-08-19 23:00:31,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF08/05_nestQF08_1_20180819_230816.avi,1450.680,25.0,Worker 1 (15),feedsbrood,,,POINT,20.804,20.804,NA,,
nest	QF08	20180817	21,2018-08-17 21:00:36,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF08/05_nestQF08_1_20180817_215535.avi,1823.160,25.0,Queen (48),offbrood,,,STATE,21.225,299.596,278.371,,
nest	QF08	20180817	21,2018-08-17 21:00:36,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF08/05_nestQF08_1_20180817_215535.avi,1823.160,25.0,Worker 3 (24),incubate,,,STATE,21.225,93.895,72.670,,
nest	QF08	20180817	21,2018-08-17 21:00:36,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF08/05_nestQF08_1_20180817_215535.avi,1823.160,25.0,Worker 4 (73),incubate,,,STATE,21.225,115.445,94.220,,
nest	QF08	20180817	21,2018-08-17 21:00:36,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF08/05_nestQF08_1_20180817_215535.avi,1823.160,25.0,Worker 6 (52),end,,,POINT,21.225,21.225,NA,,
nest	QF08	20180817	21,2018-08-17 21:00:36,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF08/05_nestQF08_1_20180817_215535.avi,1823.160,25.0,Worker 5 (36),broodmanipulate,,,STATE,21.402,299.595,278.193,,
nest	QF08	20180813	8,2018-08-13 08:00:31,G:/My Drive/AllRounds/QF/QF08/05_nestQF08_1_20180813_080555.avi,2031.760,25.0,Queen (48),incubate,,,STATE,21.702,36.751,15.049,,
for	QF08	20180813	9,2018-08-13 09:00:52,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF08/05_forQF08_1_20180813_090642.avi,2062.400,25.0,Worker 1 (15),nectarforaging,,,STATE,27.551,36.576,9.025,,
nest	QF08	20180819	2,2018-08-19 02:00:55,G:/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF08/05_nestQF08_1_20180819_020221.avi,2005.680,25.0,Worker 6 (52),feedsbrood,,,POINT,40.869,40.869,NA,,
nest	QF08	20180819	3,2018-08-19 03:00:43,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF08/05_nestQF08_1_20180819_030231.avi,2079.360,25.0,Worker 5 (36),feedsbrood,,,POINT,46.778,46.778,NA,,
nest	QF08	20180817	21,2018-08-17 21:00:36,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF08/05_nestQF08_1_20180817_215535.avi,1823.160,25.0,Worker 6 (52),broodmanipulate,,,STATE,48.725,82.222,33.497,,
nest	QF08	20180813	8,2018-08-13 08:00:31,G:/My Drive/AllRounds/QF/QF08/05_nestQF08_1_20180813_080555.avi,2031.760,25.0,Queen (48),incubate,,,STATE,53.215,172.391,119.176,,
