Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	QF02	20180706	11,2018-07-06 11:00:38,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF02/05_nestQF02_1_20180706_115543.avi,2646.200,25.0,Worker 3 (26),feedsbrood,,,POINT,14.252,14.252,NA,,
for	QF02	20180706	10,2018-07-06 10:00:06,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF02/05_forQF02_1_20180706_102125.avi,3302.560,25.0,Unknown,pollenforaging,,,STATE,15.129,20.304,5.175,,
for	QF02	20180629	12,2018-06-29 12:00:52,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF02/05_forQF02_1_20180629_123908.avi,2842.320,25.0,Worker 6 (75),nectarforaging,,,STATE,49.053,100.379,51.326,,
for	QF02	20180705	16,2018-07-05 16:00:01,G:/My Drive/AllRounds/QF/QF02/05_forQF02_1_20180705_162013.avi,3303.640,25.0,Worker 6 (75),nectarforaging,,,STATE,74.426,79.226,4.800,,
nest	QF02	20180706	12,2018-07-06 12:00:14,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF02/05_nestQF02_1_20180706_125637.avi,691.440,25.0,Worker 1 (13),feedsbrood,,,POINT,88.411,88.411,NA,,
nest	QF02	20180706	13,2018-07-06 13:00:44,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF02/05_nestQF02_1_20180706_135644.avi,745.640,25.0,Worker 3 (26),feedsbrood,,,POINT,88.786,88.786,NA,,
nest	QF02	20180706	13,2018-07-06 13:00:44,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF02/05_nestQF02_1_20180706_135644.avi,745.640,25.0,Worker 4 (48),feedsbrood,,,POINT,119.041,119.041,NA,,
for	QF02	20180705	16,2018-07-05 16:00:01,G:/My Drive/AllRounds/QF/QF02/05_forQF02_1_20180705_162013.avi,3303.640,25.0,Worker 6 (75),nectarforaging,,,STATE,131.100,161.401,30.301,,
for	QF02	20180629	12,2018-06-29 12:00:52,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF02/05_forQF02_1_20180629_123908.avi,2842.320,25.0,Worker 6 (75),nectarforaging,,,STATE,131.200,137.280,6.080,,
for	QF02	20180629	12,2018-06-29 12:00:52,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF02/05_forQF02_1_20180629_123908.avi,2842.320,25.0,Worker 6 (75),nectarforaging,,,STATE,140.780,236.450,95.670,,
nest	QF02	20180706	13,2018-07-06 13:00:44,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF02/05_nestQF02_1_20180706_135644.avi,745.640,25.0,Worker 3 (26),feedsbrood,,,POINT,144.611,144.611,NA,,
for	QF02	20180706	10,2018-07-06 10:00:06,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF02/05_forQF02_1_20180706_102125.avi,3302.560,25.0,Worker 6 (75),nectarforaging,,,STATE,148.880,158.529,9.649,,
nest	QF02	20180706	13,2018-07-06 13:00:44,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF02/05_nestQF02_1_20180706_135644.avi,745.640,25.0,Worker 4 (48),feedsbrood,,,POINT,159.505,159.505,NA,,
for	QF02	20180706	10,2018-07-06 10:00:06,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF02/05_forQF02_1_20180706_102125.avi,3302.560,25.0,Worker 6 (75),nectarforaging,,,STATE,170.530,176.304,5.774,,
for	QF02	20180705	3,2018-07-05 03:00:20,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh & Erica's Awesome Summer Experiments/Videos/*Round1/QF/QF02/05_forQF02_1_20180705_030554.avi,3324.680,25.0,Worker 4 (48),nectarforaging,,,STATE,181.575,300.000,118.425,,
nest	QF02	20180706	12,2018-07-06 12:00:14,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF02/05_nestQF02_1_20180706_125637.avi,691.440,25.0,Worker 1 (13),feedsbrood,,,POINT,194.276,194.276,NA,,
nest	QF02	20180706	13,2018-07-06 13:00:44,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF02/05_nestQF02_1_20180706_135644.avi,745.640,25.0,Worker 4 (48),feedsbrood,,,POINT,218.066,218.066,NA,,
for	QF02	20180705	16,2018-07-05 16:00:01,G:/My Drive/AllRounds/QF/QF02/05_forQF02_1_20180705_162013.avi,3303.640,25.0,Worker 6 (75),nectarforaging,,,STATE,225.126,233.426,8.300,,
for	QF02	20180705	16,2018-07-05 16:00:01,G:/My Drive/AllRounds/QF/QF02/05_forQF02_1_20180705_162013.avi,3303.640,25.0,Worker 6 (75),nectarforaging,,,STATE,255.151,282.451,27.300,,
for	QF02	20180629	12,2018-06-29 12:00:52,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF02/05_forQF02_1_20180629_123908.avi,2842.320,25.0,Worker 6 (75),nectarforaging,,,STATE,277.381,325.853,48.472,,
for	QF02	20180629	12,2018-06-29 12:00:52,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF02/05_forQF02_1_20180629_123908.avi,2842.320,25.0,Worker 6 (75),nectarforaging,,,STATE,351.401,397.211,45.810,,
for	QF02	20180705	16,2018-07-05 16:00:01,G:/My Drive/AllRounds/QF/QF02/05_forQF02_1_20180705_162013.avi,3303.640,25.0,Worker 6 (75),nectarforaging,,,STATE,360.361,371.937,11.576,,
for	QF02	20180706	10,2018-07-06 10:00:06,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF02/05_forQF02_1_20180706_102125.avi,3302.560,25.0,Worker 6 (75),nectarforaging,,,STATE,364.011,374.485,10.474,,
for	QF02	20180706	10,2018-07-06 10:00:06,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF02/05_forQF02_1_20180706_102125.avi,3302.560,25.0,Worker 6 (75),nectarforaging,,,STATE,396.732,402.661,5.929,,
for	QF02	20180629	12,2018-06-29 12:00:52,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF02/05_forQF02_1_20180629_123908.avi,2842.320,25.0,Unknown,pollenforaging,,,STATE,561.927,596.801,34.874,,
for	QF02	20180706	10,2018-07-06 10:00:06,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF02/05_forQF02_1_20180706_102125.avi,3302.560,25.0,Worker 6 (75),nectarforaging,,,STATE,598.660,717.383,118.723,,
for	QF02	20180629	12,2018-06-29 12:00:52,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF02/05_forQF02_1_20180629_123908.avi,2842.320,25.0,Worker 1 (13),nectarforaging,,,STATE,601.054,662.054,61.000,,
for	QF02	20180629	12,2018-06-29 12:00:52,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF02/05_forQF02_1_20180629_123908.avi,2842.320,25.0,Worker 6 (75),nectarforaging,,,STATE,614.329,678.676,64.347,,
for	QF02	20180629	12,2018-06-29 12:00:52,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF02/05_forQF02_1_20180629_123908.avi,2842.320,25.0,Worker 1 (13),nectarforaging,,,STATE,668.105,672.252,4.147,,
for	QF02	20180705	16,2018-07-05 16:00:01,G:/My Drive/AllRounds/QF/QF02/05_forQF02_1_20180705_162013.avi,3303.640,25.0,Worker 6 (75),pollenforaging,,,STATE,674.075,683.201,9.126,,
for	QF02	20180629	12,2018-06-29 12:00:52,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF02/05_forQF02_1_20180629_123908.avi,2842.320,25.0,Worker 1 (13),nectarforaging,,,STATE,677.853,678.676,0.823,,
for	QF02	20180629	12,2018-06-29 12:00:52,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF02/05_forQF02_1_20180629_123908.avi,2842.320,25.0,Worker 6 (75),nectarforaging,,,STATE,700.827,716.581,15.754,,
for	QF02	20180706	10,2018-07-06 10:00:06,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF02/05_forQF02_1_20180706_102125.avi,3302.560,25.0,Worker 6 (75),nectarforaging,,,STATE,719.706,722.706,3.000,,
for	QF02	20180706	10,2018-07-06 10:00:06,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF02/05_forQF02_1_20180706_102125.avi,3302.560,25.0,Worker 6 (75),nectarforaging,,,STATE,734.505,1060.906,326.401,,
for	QF02	20180705	16,2018-07-05 16:00:01,G:/My Drive/AllRounds/QF/QF02/05_forQF02_1_20180705_162013.avi,3303.640,25.0,Worker 6 (75),pollenforaging,,,STATE,735.125,862.701,127.576,,
for	QF02	20180629	12,2018-06-29 12:00:52,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF02/05_forQF02_1_20180629_123908.avi,2842.320,25.0,Worker 6 (75),nectarforaging,,,STATE,777.134,809.883,32.749,,
for	QF02	20180706	10,2018-07-06 10:00:06,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF02/05_forQF02_1_20180706_102125.avi,3302.560,25.0,Worker 5 (56),nectarforaging,,,STATE,870.613,1007.981,137.368,,
for	QF02	20180629	12,2018-06-29 12:00:52,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF02/05_forQF02_1_20180629_123908.avi,2842.320,25.0,Worker 6 (75),nectarforaging,,,STATE,877.461,905.245,27.784,,
for	QF02	20180628	21,2018-06-28 21:00:16,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF02/05_forQF02_1_20180628_213757.avi,2855.840,25.0,Worker 5 (56),nectarforaging,,,STATE,912.559,1103.065,190.506,,
