"","nestID","beeID","behav","timepoint","Caste","totCount"
"142","QF11","65","pollenforaging","early","worker",2
"143","QF11","52","nectarforaging","early","worker",1
"144","QF11","65","feedsbrood","early","worker",2
"145","QF11","17","feedsbrood","early","worker",1
"146","QF12","10","fillshoneypot","early","worker",1
"147","QF12","9","fillshoneypot","early","worker",2
"148","QF12","72","nectarforaging","early","worker",5
"149","QF12","18","nectarforaging","early","worker",31
"150","QF12","18","pollenforaging","early","worker",23
"151","QF12","44","nectarforaging","early","worker",15
"152","QF12","44","waxmanipulate","early","worker",4
"153","QF12","9","offbrood","early","worker",2
"154","QF12","10","broodmanipulate","early","worker",2
"155","QF12","18","broodmanipulate","early","worker",1
"156","QF12","72","waxmanipulate","early","worker",2
"157","QF12","10","feedsbrood","early","worker",4
"158","QF12","9","waxmanipulate","early","worker",2
"159","QF12","18","end","early","worker",2
"160","QF12","44","pollenforaging","early","worker",34
"161","QF12","9","incubate","early","worker",1
"162","QF12","9","broodmanipulate","early","worker",2
"163","QF12","44","offbrood","early","worker",2
"164","QF12","10","incubate","early","worker",3
"165","QF12","72","offbrood","early","worker",2
"166","QF12","10","waxmanipulate","early","worker",2
"167","QF12","9","end","early","worker",1
"168","QF12","10","end","early","worker",1
"169","QF12","44","end","early","worker",1
"170","QF12","72","end","early","worker",1
"171","QF12","10","nectarforaging","early","worker",1
"172","QF12","72","pollenforaging","early","worker",2
"173","QF12","10","pollenforaging","early","worker",2
"174","QF14","87","pollenforaging","early","worker",2
"175","QF14","40","feedsbrood","early","worker",2
"176","QF14","87","nectarforaging","early","worker",1
"177","QF14","75","feedsbrood","early","worker",1
"178","QF15","8","nectarforaging","early","worker",1
"179","QF15","14","nectarforaging","early","worker",1
"180","QF15","78","feedsbrood","early","worker",1
"181","QF15","37","nectarforaging","early","worker",1
"182","QF15","37","feedsbrood","early","worker",1
"183","QF16","50","feedsbrood","early","worker",3
"184","QF16","21","fillshoneypot","early","worker",1
"185","QF16","21","nectarforaging","early","worker",1
"186","QF16","50","nectarforaging","early","worker",1
"187","QT01","92","nectarforaging","early","worker",1
"188","QT01","92","pollenforaging","early","worker",2
"189","QT01","92","other","early","worker",1
"190","QT02","11","feedsbrood","early","worker",8
"191","QT03","2","fillshoneypot","early","worker",2
"192","QT03","39","feedsbrood","early","worker",1
"193","QT03","67","feedsbrood","early","worker",1
"194","QT03","67","nectarforaging","early","worker",5
"195","QT03","39","nectarforaging","early","worker",2
"196","QT03","39","pollenforaging","early","worker",2
"197","QT04","41","other","early","worker",1
"198","QT04","41","eatsbrood","early","worker",1
"199","QT04","7","feedsbrood","early","worker",1
"200","QT08","22","feedsbrood","early","worker",8
"201","QT08","22","nectarforaging","early","worker",9
"202","QT08","19","nectarforaging","early","worker",1
"203","QT11","71","nectarforaging","early","worker",14
"204","QT11","71","pollenforaging","early","worker",1
"205","QT11","71","fillshoneypot","early","worker",2
"206","QT11","80","feedsbrood","early","worker",1
"207","QT11","80","fillshoneypot","early","worker",1
"208","QT11","71","feedsbrood","early","worker",1
"209","QT11","55","nectarforaging","early","worker",1
"210","QT12","88","feedsbrood","early","worker",1
"211","QT12","77","feedsbrood","early","worker",3
"212","QT12","19","feedsbrood","early","worker",2
"213","QT12","88","nectarforaging","early","worker",2
"214","QT13","99","feedsbrood","early","worker",3
"215","QT13","47","feedsbrood","early","worker",3
"216","QT14","5","other","early","worker",1
"217","QT15","24","feedsbrood","early","worker",3
"218","QT15","57","other","early","worker",1
"219","QT15","24","other","early","worker",1
"220","QT15","66","other","early","worker",1
"221","QT15","66","nectarforaging","early","worker",8
"222","QT15","66","pollenforaging","early","worker",3
"223","QT15","57","feedsbrood","early","worker",1
"224","NF01","82","feedsbrood","late","worker",10
"225","NF01","4","feedsbrood","late","worker",4
"226","NF01","13","feedsbrood","late","worker",2
"227","NF01","4","nectarforaging","late","worker",14
"228","NF01","6","nectarforaging","late","worker",4
"229","NF01","4","pollenforaging","late","worker",2
"230","NF01","6","feedsbrood","late","worker",1
"231","NF01","35","feedsbrood","late","worker",5
"232","NF01","35","eatsbrood","late","worker",1
"233","NF03","14","nectarforaging","late","worker",24
"234","NF03","14","pollenforaging","late","worker",1
"235","NF03","8","nectarforaging","late","worker",1
"236","NF03","90","pollenforaging","late","worker",4
"237","NF04","74","nectarforaging","late","worker",3
"238","NF04","61","nectarforaging","late","worker",12
"239","NF04","44","feedsbrood","late","worker",1
"240","NF04","74","feedsbrood","late","worker",2
"241","NF04","44","nectarforaging","late","worker",2
"242","NF04","40","feedsbrood","late","worker",1
"243","NF05","46","fillshoneypot","late","worker",1
"244","NF05","83","feedsbrood","late","worker",4
