Worker ID,Microcolony ID,Date,Wing 1 (mm),Wing 2 (mm),Avg. (mm)
42,QT14,19-Feb,2.7,2.7,2.7
24,QT15,19-Feb,2.6,2.5,2.55
57,QT15,19-Feb,2.8,2.8,2.8
66,QT15,19-Feb,3.1,3.2,3.15
13,QF02,20-Feb,2.8,2.8,2.8
26,QF02,20-Feb,2.6,2.6,2.6
48,QF02,20-Feb,2.8,2.8,2.8
56,QF02,20-Feb,3,3,3
75,QF02,20-Feb,2.9,2.8,2.85
11,QF03,20-Feb,2.7,2.7,2.7
32,QF03,20-Feb,2.6,2.6,2.6
76,QF03,20-Feb,2.7,2.7,2.7
77,QF03,20-Feb,2.9,2.9,2.9
84,QF03,20-Feb,2.7,2.7,2.7
58,QF04,25-Feb,2.4,2.4,2.4
60,QF04,25-Feb,2.4,2.4,2.4
72,QF04,25-Feb,2.8,2.8,2.8
81,QF04,25-Feb,2.7,2.7,2.7
96,QF04,25-Feb,2.7,2.7,2.7
6,QF06,25-Feb,2.7,2.7,2.7
12,QF06,25-Feb,3.1,3.1,3.1
35,QF06,25-Feb,3.3,3.2,3.25
46,QF06,25-Feb,3,3,3
80,QF06,25-Feb,2.8,2.8,2.8
24,QF08,25-Feb,2.8,2.8,2.8
36,QF08,25-Feb,2.4,2.4,2.4
52,QF08,25-Feb,2.1,2.1,2.1
73,QF08,25-Feb,2.9,NA,2.9
9,QF11,25-Feb,2.4,2.4,2.4
17,QF11,25-Feb,2.5,2.5,2.5
42,QF11,25-Feb,2.4,2.4,2.4
52,QF11,25-Feb,2.3,2.3,2.3
65,QF11,25-Feb,2.7,2.7,2.7
9,QF12,25-Feb,2.7,2.7,2.7
10,QF12,25-Feb,2.7,2.7,2.7
18,QF12,25-Feb,3,3,3
44,QF12,25-Feb,3.1,3.1,3.1
72,QF12,25-Feb,2.8,2.8,2.8
23,QF14,25-Feb,2.8,2.8,2.8
40,QF14,25-Feb,2.4,2.4,2.4
75,QF14,25-Feb,2.6,2.6,2.6
87,QF14,25-Feb,3.2,3.2,3.2
91,QF14,25-Feb,2.8,2.8,2.8
