"","X","nestID","nestTYPE","beeID","caste","natal","beeType","addDate","diedDate","nectarforaging","feedsbrood","pollenforaging","egglaying","nBehavs","size","ovL1","ovL2","ovLavg","ovR1","ovR2","ovRavg","ovS1","ovS2","ovSavg","queen","nWork","nBees","lazy","allforaging","shannon","specBehav","specProp","BehavAssign","perfSpec","NF","PF","FB","EL"
"21",24,"NF06","NF","NF068","W","VB02","orig",NA,NA,19,3,4,0,26,2.4,4.8,3.8,4.3,0,1,0.5,3.5,4,3.75,"queenless",5,5,"notLazy",8,0.766352118227395,"generalist",0.730769230769231,"nectarforaging",NA,"yes","yes","yes","no"
"22",26,"NF06","NF","NF0676","W","VB02","orig",NA,NA,8,9,0,0,17,2.65,NA,NA,0,1,1,1,4,4,4,"queenless",5,5,"notLazy",3,0.691416077617118,"generalist",0.529411764705882,"feedsbrood",NA,"yes","no","yes","no"
"23",27,"NF06","NF","NF0661","W","VB02","orig",NA,NA,0,3,28,11,42,2.5,NA,NA,0,0,0,0,1,1,1,"queenless",5,5,"notLazy",7,0.809707448004985,"generalist",0.666666666666667,"pollenforaging",NA,"no","yes","yes","yes"
"24",28,"NF07","NF","NF0770","W","AS1","orig",NA,NA,6,20,30,10,66,2.8,NA,NA,0,1,1,1,4,4,4,"queenless",5,5,"notLazy",7,1.22409451981047,"generalist",0.454545454545455,"pollenforaging",NA,"yes","yes","yes","yes"
"25",30,"NF07","NF","NF0713","W","AS1","orig",NA,NA,9,0,0,0,9,2.5,NA,NA,0,0,0,0,1,1,1,"queenless",5,5,"notLazy",7,0,"nectarforaging",1,"nectarforaging",3,"yes","no","no","no"
"26",31,"NF07","NF","NF0726","W","AS1","orig",NA,NA,13,0,0,0,13,2.6,NA,NA,0,0,0,0,1,1,1,"queenless",5,5,"notLazy",10,0,"nectarforaging",1,"nectarforaging",3,"yes","no","no","no"
"27",32,"NF10","NF","NF1072","W","VB02","orig",NA,NA,0,12,0,10,22,2.8,6,5.3,5.65,0,0,0,4,4,4,"queenless",5,5,"notLazy",0,0.689009238476659,"generalist",0.545454545454545,"feedsbrood",NA,"no","no","yes","yes"
"28",33,"NF11","NF","NF1133","W","R33","orig",NA,NA,14,15,0,0,29,2.4,NA,6,6,0,0,0,2,3.5,2.75,"queenless",5,5,"notLazy",10,0.692552532360723,"generalist",0.517241379310345,"feedsbrood",NA,"yes","no","yes","no"
"29",34,"NF11","NF","NF1120","W","R33","orig",NA,NA,11,7,0,0,18,2.65,NA,NA,0,0,0,0,4,4,4,"queenless",5,5,"notLazy",8,0.668248477664539,"generalist",0.611111111111111,"nectarforaging",NA,"yes","no","yes","no"
"30",35,"NF11","NF","NF1149","W","R33","orig",NA,NA,10,0,17,0,27,2.6,4,NA,4,0,0,0,3.5,2,2.75,"queenless",5,5,"notLazy",8,0.659152503822991,"generalist",0.62962962962963,"pollenforaging",NA,"yes","yes","no","no"
"31",36,"NF11","NF","NF117","W","R33","orig",NA,NA,1,22,0,0,23,2.7,NA,NA,0,0,0,0,2,2,2,"queenless",5,5,"notLazy",1,0.178844912716848,"feedsbrood",0.956521739130435,"feedsbrood",NA,"yes","no","yes","no"
"32",38,"NT01","NT","NT0173","W","KE1","orig",NA,NA,0,6,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"queenless",3,3,"notLazy",0,0,"feedsbrood",1,"feedsbrood",4,"no","no","yes","no"
"33",39,"NT01","NT","NT0110","W","KE1","orig",NA,NA,23,10,0,0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"queenless",3,3,"notLazy",8,0.613410049457059,"generalist",0.696969696969697,"nectarforaging",NA,"yes","no","yes","no"
"34",40,"NT01","NT","NT0185","W","KE1","replac",20180702,NA,0,6,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"queenless",3,3,"notLazy",0,0,"feedsbrood",1,"feedsbrood",4,"no","no","yes","no"
"35",41,"NT02","NT","NT0293","W","KE1","orig",NA,NA,51,10,41,0,102,3.25,6.6,7.2,6.9,0,0,0,3.5,3.5,3.5,"queenless",3,3,"notLazy",31,0.940606019816058,"generalist",0.5,"nectarforaging",NA,"yes","yes","yes","no"
