"","X","nestID","nestTYPE","beeID","caste","natal","beeType","addDate","diedDate","nectarforaging","feedsbrood","pollenforaging","egglaying","nBehavs","size","ovL1","ovL2","ovLavg","ovR1","ovR2","ovRavg","ovS1","ovS2","ovSavg","queen","nWork","nBees","lazy","allforaging","shannon","specBehav","specProp","BehavAssign","perfSpec","NF","PF","FB","EL"
"94",111,"QF14","QF","QF1487","W","R34","orig",NA,NA,4,1,16,0,21,3.2,5.3,NA,5.3,1,1,1,4,4,4,"queenright",5,6,"notLazy",4,0.668017818660753,"generalist",0.761904761904762,"pollenforaging",NA,"yes","yes","yes","no"
"95",112,"QF14","QF","QF1475","W","R34","orig",NA,NA,0,5,0,0,5,2.6,NA,NA,0,1,1,1,4,4,4,"queenright",5,6,"notLazy",0,0,"feedsbrood",1,"feedsbrood",4,"no","no","yes","no"
"96",113,"QF14","QF","QF1423","W","R34","orig",NA,NA,8,5,0,0,13,2.8,NA,NA,0,1,1,1,4,4,4,"queenright",5,6,"notLazy",2,0.666278442414676,"generalist",0.615384615384615,"nectarforaging",NA,"yes","no","yes","no"
"97",119,"QF15","QF","QF1537","W","R35","orig",NA,NA,2,7,0,0,9,2.6,1.8,NA,1.8,1,1,1,4,4,4,"queenright",5,6,"notLazy",1,0.529706199057654,"feedsbrood",0.777777777777778,"feedsbrood",NA,"yes","no","yes","no"
"98",121,"QF16","QF","QF1650","W","R35","orig",NA,NA,8,35,0,0,43,2.55,NA,NA,0,1,1,1,4,4,4,"queenright",5,6,"notLazy",7,0.480439313703605,"feedsbrood",0.813953488372093,"feedsbrood",NA,"yes","no","yes","no"
"99",122,"QF16","QF","QF1662","Q","R32","orig",NA,NA,0,11,0,71,82,3.6,NA,NA,NA,0,0,0,4,4,4,"queenright",5,6,"notLazy",0,0.39419340249943,"egglaying",0.865853658536585,"egglaying",NA,"no","no","yes","yes"
"100",123,"QF16","QF","QF1695","W","R35","orig",NA,NA,1,23,0,0,24,2.55,5.7,NA,5.7,1,1,1,4,4,4,"queenright",5,6,"notLazy",1,0.173205206749177,"feedsbrood",0.958333333333333,"feedsbrood",NA,"yes","no","yes","no"
"101",124,"QF16","QF","QF1674","W","R35","replac",20181030,NA,8,0,0,0,8,2.6,5.3,5.3,5.3,0,0,0,3.5,3.5,3.5,"queenright",5,6,"notLazy",7,0,"nectarforaging",1,"nectarforaging",3,"yes","no","no","no"
"102",125,"QF16","QF","QF1621","W","R35","orig",NA,NA,6,0,0,0,6,2.5,3.8,5.2,4.5,1,1,1,4,4,4,"queenright",5,6,"notLazy",6,0,"nectarforaging",1,"nectarforaging",3,"yes","no","no","no"
"103",127,"QT01","QT","QT0192","W","KE1","orig",NA,NA,2,11,6,0,19,2.7,5.9,6,5.95,0,0,0,4,4,4,"queenright",3,4,"notLazy",3,0.917402180362741,"generalist",0.578947368421053,"feedsbrood",NA,"yes","yes","yes","no"
"104",129,"QT01","QT","QT0118","W","KE1","orig",NA,NA,11,0,6,0,17,2.6,3.8,NA,3.8,0,0,0,3,2,2.5,"queenright",3,4,"notLazy",7,0.649248354870898,"generalist",0.647058823529412,"nectarforaging",NA,"yes","yes","no","no"
"105",130,"QT02","QT","QT0285","Q","ES6","orig",NA,NA,88,24,93,100,305,4,NA,NA,NA,0,0,0,4,4,4,"queenright",3,4,"notLazy",54,1.28645045508448,"generalist",0.327868852459016,"egglaying",NA,"yes","yes","yes","yes"
"106",131,"QT02","QT","QT0211","W","KE1","orig",NA,NA,8,32,0,0,40,2.7,NA,NA,0,1,1,1,4,4,4,"queenright",3,4,"notLazy",4,0.500402423538188,"feedsbrood",0.8,"feedsbrood",NA,"yes","no","yes","no"
"107",132,"QT02","QT","QT0229","W","KE1","replac",20180618,NA,0,8,0,0,8,2.25,NA,NA,0,0,0,0,3,2,2.5,"queenright",3,4,"notLazy",0,0,"feedsbrood",1,"feedsbrood",4,"no","no","yes","no"
"108",133,"QT02","QT","QT0251","W","KE1","replac",20180618,NA,2,35,6,0,43,2.4,NA,NA,0,0,0,0,1,1,1,"queenright",3,4,"notLazy",2,0.585059805725709,"feedsbrood",0.813953488372093,"feedsbrood",NA,"yes","yes","yes","no"
"109",134,"QT03","QT","QT038","Q","ES6","orig",NA,NA,62,0,83,0,145,3.7,NA,NA,NA,0,0,0,4,4,4,"queenright",3,4,"notLazy",50,0.682622691938414,"generalist",0.572413793103448,"pollenforaging",NA,"yes","yes","no","no"
"110",135,"QT03","QT","QT0339","W","KE1","orig",NA,NA,5,29,9,0,43,2.9,5.5,NA,5.5,1,1,1,4,4,4,"queenright",3,4,"notLazy",5,0.843205003419046,"generalist",0.674418604651163,"feedsbrood",NA,"yes","yes","yes","no"
"111",136,"QT03","QT","QT032","W","KE1","orig",NA,NA,1,33,0,0,34,2.4,NA,NA,0,0,0,0,3,2,2.5,"queenright",3,4,"notLazy",1,0.132691420839872,"feedsbrood",0.970588235294118,"feedsbrood",NA,"yes","no","yes","no"
"112",137,"QT03","QT","QT0367","W","KE1","orig",NA,NA,23,29,0,0,52,2.6,NA,NA,0,1,1,1,4,4,4,"queenright",3,4,"notLazy",12,0.686475525581847,"generalist",0.557692307692308,"feedsbrood",NA,"yes","no","yes","no"
"113",139,"QT08","QT","QT0819","W","VB01","orig",NA,NA,2,7,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"queenright",3,4,"notLazy",1,0.529706199057654,"feedsbrood",0.777777777777778,"feedsbrood",NA,"yes","no","yes","no"
"114",140,"QT08","QT","QT0822","W","VB01","orig",NA,NA,44,26,13,0,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"queenright",3,4,"notLazy",22,0.990416565291032,"generalist",0.530120481927711,"nectarforaging",NA,"yes","yes","yes","no"
"115",141,"QT08","QT","QT0857","W","VB01","orig",NA,NA,0,26,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"queenright",3,4,"notLazy",0,0,"feedsbrood",1,"feedsbrood",4,"no","no","yes","no"
"116",142,"QT08","QT","QT0878","Q","KE1","orig",NA,NA,18,5,52,65,140,3.7,NA,NA,NA,0,0,0,4,4,4,"queenright",3,4,"notLazy",13,1.1068300860825,"generalist",0.464285714285714,"egglaying",NA,"yes","yes","yes","yes"
"117",143,"QT11","QT","QT1171","W","R34","orig",NA,NA,34,15,39,0,88,2.8,NA,NA,0,0,0,0,1,1,1,"queenright",3,4,"notLazy",27,1.02965596160845,"generalist",0.443181818181818,"pollenforaging",NA,"yes","yes","yes","no"
"118",144,"QT11","QT","QT1180","W","R34","orig",NA,NA,2,23,0,9,34,2.6,NA,4.9,4.9,1,1,1,4,4,4,"queenright",3,4,"notLazy",2,0.782899273924505,"generalist",0.676470588235294,"feedsbrood",NA,"yes","no","yes","yes"
"119",146,"QT12","QT","QT1277","W","R33","orig",NA,NA,3,7,0,0,10,2.8,NA,NA,0,1,1,1,4,4,4,"queenright",3,4,"notLazy",1,0.610864302054894,"generalist",0.7,"feedsbrood",NA,"yes","no","yes","no"
"120",147,"QT12","QT","QT1219","W","R33","orig",NA,NA,3,5,0,6,14,2.6,3.2,5,4.1,1,1,1,4,4,4,"queenright",3,4,"notLazy",1,1.06094424079075,"generalist",0.428571428571429,"egglaying",NA,"yes","no","yes","yes"
"121",148,"QT12","QT","QT1288","W","R33","orig",NA,NA,7,2,0,0,9,2.7,3.1,4.8,3.95,1,1,1,4,4,4,"queenright",3,4,"notLazy",2,0.529706199057654,"nectarforaging",0.777777777777778,"nectarforaging",NA,"yes","no","yes","no"
"122",149,"QT13","QT","QT133","W","R33","orig",NA,NA,0,4,0,10,14,2.45,NA,NA,0,0,0,0,2,2,2,"queenright",3,4,"notLazy",0,0.598269588585257,"egglaying",0.714285714285714,"egglaying",NA,"no","no","yes","yes"
"123",150,"QT13","QT","QT1347","W","R33","orig",NA,NA,0,7,0,3,10,2.6,NA,NA,0,1,1,1,4,4,4,"queenright",3,4,"notLazy",0,0.610864302054894,"generalist",0.7,"feedsbrood",NA,"no","no","yes","yes"
"124",151,"QT13","QT","QT1399","W","R33","orig",NA,NA,0,7,0,3,10,NA,NA,4.4,4.4,1,1,1,4,4,4,"queenright",3,4,"notLazy",0,0.610864302054894,"generalist",0.7,"feedsbrood",NA,"no","no","yes","yes"
"125",152,"QT14","QT","QT1417","W","R34","orig",NA,NA,6,0,0,5,11,2.45,NA,NA,0,0,0,0,1,1,1,"queenright",3,4,"notLazy",2,0.689009238476659,"generalist",0.545454545454545,"nectarforaging",NA,"yes","no","no","yes"
"126",153,"QT14","QT","QT1442","W","R34","orig",NA,NA,6,13,0,0,19,2.7,4,4,4,0,0,0,3.5,3.5,3.5,"queenright",3,4,"notLazy",2,0.623654849568108,"generalist",0.684210526315789,"feedsbrood",NA,"yes","no","yes","no"
"127",170,"QT15","QT","QT1557","W","R35","orig",NA,NA,0,0,0,5,5,2.8,NA,NA,0,1,1,1,4,4,4,"queenright",3,4,"notLazy",0,0,"egglaying",1,"egglaying",5,"no","no","no","yes"
"128",189,"QF09","QF","QF0990","Q","KE3","orig",NA,NA,0,0,0,10,10,3.6,NA,NA,NA,0,0,0,4,4,4,"queenright",5,6,"notLazy",0,0,"egglaying",1,"egglaying",5,"no","no","no","yes"
"129",191,"QF15","QF","QF1590","Q","R32","orig",NA,NA,0,0,0,15,15,3.7,NA,NA,NA,0,0,0,4,4,4,"queenright",5,6,"notLazy",0,0,"egglaying",1,"egglaying",5,"no","no","no","yes"
"130",193,"QF11","QF","QF1198","Q","R32","orig",NA,NA,0,0,0,47,47,4.2,NA,NA,NA,0,0,0,4,4,4,"queenright",5,6,"notLazy",0,0,"egglaying",1,"egglaying",5,"no","no","no","yes"
"131",197,"QT12","QT","QT1293","Q","R32","orig",NA,NA,0,0,0,9,9,4,NA,NA,NA,0,0,0,4,4,4,"queenright",3,4,"notLazy",0,0,"egglaying",1,"egglaying",5,"no","no","no","yes"
"132",198,"QT11","QT","QT1195","Q","R32","orig",NA,NA,0,0,0,29,29,4.1,NA,NA,NA,0,0,0,4,4,4,"queenright",3,4,"notLazy",0,0,"egglaying",1,"egglaying",5,"no","no","no","yes"
"133",199,"QF02","QF","QF0212","Q","ES6","orig",NA,NA,0,0,0,158,158,3.8,NA,NA,NA,0,0,0,4,4,4,"queenright",5,6,"notLazy",0,0,"egglaying",1,"egglaying",5,"no","no","no","yes"
"134",200,"QT04","QT","QT0462","Q","ES6","orig",NA,NA,0,0,0,5,5,3.7,NA,NA,NA,0,0,0,4,4,4,"queenright",3,4,"notLazy",0,0,"egglaying",1,"egglaying",5,"no","no","no","yes"
